id,gid,x,y,v_x,v_y,radius,time
0,0,7.896206,0.001531,-1.037942,0.015314,0.500000,0.100000
1,1,5.605665,5.607363,-0.511852,-0.494868,0.500000,0.100000
2,2,-0.001820,7.941655,-0.018192,-0.583451,0.500000,0.100000
3,3,-5.612857,5.614757,0.439931,-0.420929,0.500000,0.100000
4,4,-7.935162,-0.004372,0.648381,-0.043710,0.500000,0.100000
5,5,-5.571848,-5.567888,0.850023,0.889716,0.500000,0.100000
6,6,-0.000668,-7.979062,-0.006680,0.209377,0.500000,0.100000
7,7,5.605742,-5.611469,-0.511177,0.453808,0.500000,0.100000
0,0,7.790591,-0.009984,-1.056150,-0.115151,0.500000,0.200000
1,1,5.552901,5.557070,-0.527639,-0.502934,0.500000,0.200000
2,2,-0.012445,7.851517,-0.106252,-0.901375,0.500000,0.200000
3,3,-5.548252,5.554838,0.646051,-0.599194,0.500000,0.200000
4,4,-7.852620,-0.003676,0.825417,0.006958,0.500000,0.200000
5,5,-5.489031,-5.480400,0.828164,0.874881,0.500000,0.200000
6,6,0.002613,-7.860341,0.032813,1.187211,0.500000,0.200000
7,7,5.535783,-5.547187,-0.699592,0.642818,0.500000,0.200000
0,0,7.685072,-0.021368,-1.055185,-0.113841,0.500000,0.300000
1,1,5.488640,5.496792,-0.642607,-0.602775,0.500000,0.300000
2,2,-0.026037,7.743898,-0.135919,-1.076190,0.500000,0.300000
3,3,-5.478426,5.496971,0.698255,-0.578666,0.500000,0.300000
4,4,-7.738236,0.018457,1.143843,0.221331,0.500000,0.300000
5,5,-5.405110,-5.391312,0.839211,0.890884,0.500000,0.300000
6,6,0.014151,-7.757674,0.115374,1.026671,0.500000,0.300000
7,7,5.461558,-5.473455,-0.742254,0.737324,0.500000,0.300000
0,0,7.567128,-0.010067,-1.179442,0.113003,0.500000,0.400000
1,1,5.406874,5.416512,-0.817665,-0.802806,0.500000,0.400000
2,2,-0.008966,7.593967,0.170708,-1.499315,0.500000,0.400000
3,3,-5.424510,5.417492,0.539164,-0.794793,0.500000,0.400000
4,4,-7.625168,0.019913,1.130680,0.014564,0.500000,0.400000
5,5,-5.294321,-5.284350,1.107895,1.069615,0.500000,0.400000
6,6,0.013511,-7.628107,-0.006398,1.295672,0.500000,0.400000
7,7,5.378915,-5.401527,-0.826427,0.719283,0.500000,0.400000
0,0,7.445414,0.002418,-1.217139,0.124858,0.500000,0.500000
1,1,5.308887,5.325038,-0.979865,-0.914741,0.500000,0.500000
